0.1	100.
0.2	86.
0.25	80.
0.3	75.
0.35	72.
0.4	67.
0.5	60.
1.	42.
2.	27.
5.	14.
10.	8.2
20.	4.6
50.	2.3
100.	1.4
160.	1.

